Voltage; Resistencia; CO2 PPM;CO2 PPM1 ; RH; Temp
0,33226;14048,54369;919,85567;10952,16751;49,41301;24,19872
0,33226;14048,54369;919,85567;10952,16751;49,40767;24,19815
0,33226;14048,54369;919,85567;10952,16751;49,41635;24,19682
0,33226;14048,54369;919,85567;10952,16751;49,39985;24,19872
0,33226;14048,54369;919,85567;10952,16751;49,40271;24,20540
0,33226;14048,54369;919,85567;10952,16751;49,40023;24,20616
0,33226;14048,54369;919,85567;10952,16751;49,38469;24,20902
0,32903;14196,07843;893,62713;10291,00283;49,34912;24,21246
0,32903;14196,07843;893,62713;10291,00283;49,34587;24,21741
0,32903;14196,07843;893,62713;10291,00283;49,31879;24,22161
0,32903;14196,07843;893,62713;10291,00283;49,33920;24,22009
0,32903;14196,07843;893,62713;10291,00283;49,33214;24,22543
0,33226;14048,54369;919,85567;10952,16751;49,32413;24,22237
0,33226;14048,54369;919,85567;10952,16751;49,32022;24,21665
0,32903;14196,07843;893,62713;10291,00283;49,29981;24,20864
0,32903;14196,07843;893,62713;10291,00283;49,29199;24,20521
0,33226;14048,54369;919,85567;10952,16751;49,31765;24,20483
0,32903;14196,07843;893,62713;10291,00283;49,32327;24,19853
0,32903;14196,07843;893,62713;10291,00283;49,30649;24,19567
0,32903;14196,07843;893,62713;10291,00283;49,28789;24,19109
0,32903;14196,07843;893,62713;10291,00283;49,27444;24,18938
0,32903;14196,07843;893,62713;10291,00283;49,28837;24,19014
0,32903;14196,07843;893,62713;10291,00283;49,27750;24,18938
0,32903;14196,07843;893,62713;10291,00283;49,29428;24,18976
0,32903;14196,07843;893,62713;10291,00283;49,28112;24,19186
0,32903;14196,07843;893,62713;10291,00283;49,27645;24,18633
0,32903;14196,07843;893,62713;10291,00283;49,30038;24,18480
0,32903;14196,07843;893,62713;10291,00283;49,28541;24,18499
0,32903;14196,07843;893,62713;10291,00283;49,31355;24,18346
0,32903;14196,07843;893,62713;10291,00283;49,33319;24,16916
0,32903;14196,07843;893,62713;10291,00283;49,38393;24,16286
0,32903;14196,07843;893,62713;10291,00283;49,37191;24,16725
0,32903;14196,07843;893,62713;10291,00283;49,38250;24,17202
0,32903;14196,07843;893,62713;10291,00283;49,37582;24,17679
0,32903;14196,07843;893,62713;10291,00283;49,33634;24,18175
0,32903;14196,07843;893,62713;10291,00283;49,31364;24,18137
0,32903;14196,07843;893,62713;10291,00283;49,32451;24,18442
0,32903;14196,07843;893,62713;10291,00283;49,30277;24,18346
0,32903;14196,07843;893,62713;10291,00283;49,34282;24,18499
0,32903;14196,07843;893,62713;10291,00283;49,34511;24,17755
0,32903;14196,07843;893,62713;10291,00283;49,32699;24,17068
0,32903;14196,07843;893,62713;10291,00283;49,36666;24,16916
0,32903;14196,07843;893,62713;10291,00283;49,34387;24,17545
0,32903;14196,07843;893,62713;10291,00283;49,33615;24,17812
0,32903;14196,07843;893,62713;10291,00283;49,36504;24,18480
0,32903;14196,07843;893,62713;10291,00283;49,34874;24,18900
0,32903;14196,07843;893,62713;10291,00283;49,30744;24,18900
0,32903;14196,07843;893,62713;10291,00283;49,30124;24,18499
0,32903;14196,07843;893,62713;10291,00283;49,30468;24,17946
0,32903;14196,07843;893,62713;10291,00283;49,33414;24,18308
0,32903;14196,07843;893,62713;10291,00283;49,33414;24,17641
0,32903;14196,07843;893,62713;10291,00283;49,33434;24,17164
0,32903;14196,07843;893,62713;10291,00283;49,26624;24,17011
0,32903;14196,07843;893,62713;10291,00283;49,28951;24,16553
0,32903;14196,07843;893,62713;10291,00283;49,29104;24,15600
0,32903;14196,07843;893,62713;10291,00283;49,30162;24,15581
0,32903;14196,07843;893,62713;10291,00283;49,31889;24,15600
0,32903;14196,07843;893,62713;10291,00283;49,32518;24,15943
0,32903;14196,07843;893,62713;10291,00283;49,34139;24,16382
0,32903;14196,07843;893,62713;10291,00283;49,33109;24,17374
0,32903;14196,07843;893,62713;10291,00283;49,32718;24,17850
0,32903;14196,07843;893,62713;10291,00283;49,31564;24,18137
0,32903;14196,07843;893,62713;10291,00283;49,29256;24,18842
0,32581;14346,53465;867,91658;9664,24073;49,33014;24,19186
0,32581;14346,53465;867,91658;9664,24073;49,29399;24,19357
0,32581;14346,53465;867,91658;9664,24073;49,27998;24,19567
0,32581;14346,53465;867,91658;9664,24073;49,23878;24,18766
0,32581;14346,53465;867,91658;9664,24073;49,22810;24,18213
0,32581;14346,53465;867,91658;9664,24073;49,20425;24,17583
0,32581;14346,53465;867,91658;9664,24073;49,21913;24,16973
0,32581;14346,53465;867,91658;9664,24073;49,22953;24,16840
0,32581;14346,53465;867,91658;9664,24073;49,25489;24,17431
0,32581;14346,53465;867,91658;9664,24073;49,26805;24,17927
0,32581;14346,53465;867,91658;9664,24073;49,26395;24,18633
0,32258;14500,00000;842,71806;9070,37514;49,25957;24,18842
0,32258;14500,00000;842,71806;9070,37514;49,27025;24,19071
0,32258;14500,00000;842,71806;9070,37514;49,24078;24,18938
0,32258;14500,00000;842,71806;9070,37514;49,11003;24,18442
0,32258;14500,00000;842,71806;9070,37514;49,19176;24,18480
0,32581;14346,53465;867,91658;9664,24073;49,17479;24,18137
0,32581;14346,53465;867,91658;9664,24073;49,16344;24,18213
0,32258;14500,00000;842,71806;9070,37514;49,17145;24,18270
0,32581;14346,53465;867,91658;9664,24073;49,17564;24,17850
